latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.47803,13.048327,36.0,7200,Europe/Berlin,GMT+2

time,temperature_2m_mean (°C),precipitation_sum (mm),et0_fao_evapotranspiration (mm)
2025-08-10,19.7,0.00,4.33
2025-08-11,18.6,0.00,4.25
2025-08-12,21.5,0.00,4.89
2025-08-13,23.6,0.00,5.26
2025-08-14,24.8,0.00,4.88
2025-08-15,25.2,0.20,4.70
2025-08-16,20.1,0.30,3.54
2025-08-17,NaN,NaN,NaN

